folder_name,dvc_commit,time,n1,n2,N1,N2,Volume,Difficulty,Effort
lendingclub,4c8029d7036f1c48719423ca6b75db067d4cb700,1570656756,3,4,30,111,395.8370440101222,41.625,16476.716956921337
lendingclub,c29315fadf23cbb82a314ded55fa22d09ffb8860,1571119426,3,4,30,103,373.37820463366137,38.625,14421.73315397517
lendingclub,0a9db2b0278ec19d48420a2f375cce6556232d7c,1571374242,3,4,30,101,367.76349478954614,37.875,13929.04236515406
lendingclub,50624ce24c4637d8055068af58618617709402e1,1569912671,3,4,18,60,218.97368392049313,22.5,4926.907888211095
lendingclub,2cb488dbd02a3ab4b92f34ab2259531cf84e4890,1569638637,1,4,1,4,11.60964047443681,0.5,5.804820237218405
lendingclub,ffbfe9054d694db28fe67c4b059ece9c297aed45,1569997539,3,4,21,128,418.295883386583,48.0,20078.202402555984
lendingclub,0f21b3d5fb63fd76114be257d3f429017a9df80d,1571111093,3,4,30,103,373.37820463366137,38.625,14421.73315397517
lendingclub,4f8bc1b4bd0e6c6da1b67c2f3de84e354f7186e7,1571123206,3,4,30,103,373.37820463366137,38.625,14421.73315397517
lendingclub,642a715e65ee2a6eb209d05b0a7f52852af1ca75,1571110300,3,4,30,95,350.9193652572005,35.625,12501.502387287768
lendingclub,64f6a08a7336501d50b2944cd483387f5f889c82,1569124787,1,2,1,2,4.754887502163468,0.5,2.377443751081734
lendingclub,f085983f355a2f067ad08b18e9ca2469298a0a1f,1570751687,3,4,30,96,353.7267201792581,36.0,12734.161926453293
lendingclub,c96b6b99befed1bbfbd171a27fd26661877db2e8,1571423633,3,4,30,101,367.76349478954614,37.875,13929.04236515406
lendingclub,595529350ced9f515e9c754903b3c24c06da8bd0,1576900009,3,4,31,115,409.8738186204102,43.125,17675.808428005188
lendingclub,a21b8d37072e92411938b3e5c77c9471a2929659,1575246972,3,4,31,115,409.8738186204102,43.125,17675.808428005188
lendingclub,fa9284725bfc3ddc1cd94cd7220645dcd77ff096,1575244141,3,4,31,115,409.8738186204102,43.125,17675.808428005188
lendingclub,ac4bfe9a4c0093a82e36833d6895c829762cf412,1571184953,3,4,30,99,362.1487849454309,37.125,13444.773641099122
lendingclub,1049fe35d9cf9f15bcd84b8e3dd84c58dbd1768c,1571123078,3,4,30,103,373.37820463366137,38.625,14421.73315397517
lendingclub,0ba9c974a73c167b2acb2d4354fc60d694c4810e,1569476450,0,0,0,0,0,0,0
lendingclub,5ef789a8451c79d84139728c24412656d65745ae,1571111970,3,6,30,109,440.6195752004814,27.25,12006.883424213118
lendingclub,53869df73ac29802ff4a505dd087f295b9c6a95b,1572354312,3,4,30,105,378.99291447777654,39.375,14922.846007562452
lendingclub,d0d80630c1e383007c72831b5fcb8a9979323ef1,1571175764,3,4,30,99,362.1487849454309,37.125,13444.773641099122
lendingclub,f8415ca4fa7bf876e1729952646f48f561eca93a,1570860108,3,4,30,95,350.9193652572005,35.625,12501.502387287768
lendingclub,2711f310ee0fa14b3b93ea912c1d582ef2215f3f,1570655031,3,4,30,147,496.9018212041959,55.125,27391.7128938813
lendingclub,c4539390db56aae4b9936d490de83c6fb4c7bcd9,1573629507,3,4,27,98,350.9193652572005,36.75,12896.28667320212
lendingclub,bc05f6d82995070d7ba050b97960dbbf1a1f56c1,1570752438,3,5,30,97,381.0,29.099999999999998,11087.099999999999
lendingclub,1f282b72bcffef5517ba3bd77d3c99844a155673,1571253967,3,4,30,99,362.1487849454309,37.125,13444.773641099122
lendingclub,fa26dddbd5de2918ad11191e4e578b91083015e8,1576919766,3,4,32,119,423.9105932306982,44.625,18917.010222919907
lendingclub,2f4d55e608bd7bba380b00e0fe5ac43853bb5500,1573963740,3,4,30,106,381.8002693998342,39.75,15176.560708643408
lendingclub,9397e751ff6f4432c0d9efd52f3efaede37b586a,1581530958,3,4,32,119,423.9105932306982,44.625,18917.010222919907
lendingclub,db5dd61ef174c0f17dea8f67e30703cc1d3fb605,1571120786,3,4,30,103,373.37820463366137,38.625,14421.73315397517
lendingclub,67236d4dcbba0b30beb7c2336d9ea1d8e032d7e6,1571995389,3,4,30,105,378.99291447777654,39.375,14922.846007562452
lendingclub,ef97880da78c5969d6b52fcb40e44f13b04acea7,1570751965,3,6,30,98,405.75040018461596,24.5,9940.884804523092
lendingclub,130aae574f9c401ba3d2d01dbda232f00eaa83a6,1571189028,3,4,30,99,362.1487849454309,37.125,13444.773641099122
lendingclub,c8e802035741aa956df4c30d3a090bb516f203a2,1571564022,3,4,30,105,378.99291447777654,39.375,14922.846007562452
lendingclub,9a84829cfa0a54d4bb153f0d35608765fe167a3f,1573631911,3,4,30,105,378.99291447777654,39.375,14922.846007562452
lendingclub,29b5568602a844621088a41b0013ae8ab7125d41,1569733160,3,4,7,16,64.56916320732489,6.0,387.41497924394935
lendingclub,c41adf73fd108458063b46b0d900f3d47e63bd34,1570657345,3,4,30,112,398.6443989321798,42.0,16743.06475515155
lendingclub,ba502294f0101bd4d8086604502f385ab8b59e00,1571123453,3,4,30,99,362.1487849454309,37.125,13444.773641099122
lendingclub,421eaf6dd866778d24da783bd824482acde7042a,1569796057,3,4,14,36,140.3677461028802,13.5,1894.9645723888827
