folder_name,dvc_commit,time,n1,n2,N1,N2,Volume,Difficulty,Effort
mailsense,ebde785c8c9302ce01c3d3d011e4c730a2b4d30a,1563084136,1,5,1,5,15.509775004326936,0.5,7.754887502163468
mailsense,48a0c24aa9f3723385bdb6dd24237c918b4cac78,1563084591,3,5,7,15,66.0,4.5,297.0
mailsense,be2dbb096421d6ca439ffee94c5476a9fee40141,1559058443,2,5,5,19,67.3765181293825,3.8,256.0307688916535
mailsense,c70ddbe2f2ee8360c2d51d11cb0026c9260bbd9a,1563082091,0,0,0,0,0,0,0
mailsense,202e414a2d50ccbd301cab58d993b131c5f53d4a,1565185391,3,12,15,55,273.4823416925963,6.875,1880.1910991365996
mailsense,c86a30579bd2e588b57a50d2a2c76d72ed972f19,1564323054,3,9,13,31,157.73835003173087,5.166666666666667,814.981475163943
mailsense,cf12553a349a2d04d4a978712103ec8cc31679dd,1558964918,1,5,1,5,15.509775004326936,0.5,7.754887502163468
mailsense,0ddc10fafd19528a5d277e273184464794ac312e,1563089697,3,8,13,29,145.29612798276648,5.4375,790.0476959062927
mailsense,d5fcad3f6b4dc78bfe04974ce70ffaf09d93f399,1559060003,3,5,8,29,111.0,8.7,965.6999999999999
mailsense,c3414a97706bb280e2277657d7a80d40c8e5494a,1563089560,3,5,10,20,90.0,6.0,540.0
mailsense,5af9b0b2167bdb7ee4544a6e3558462ed1c17330,1559134323,3,5,8,29,111.0,8.7,965.6999999999999
mailsense,cd9d87b736b4661beacb80098dc3052334bedb1a,1559138174,3,8,11,38,169.51214931322758,7.125,1207.7740638567466
mailsense,78f8e5647ba40330ea8663e294f18ab5da0ea435,1559137235,3,5,8,29,111.0,8.7,965.6999999999999
mailsense,6b677efd37b1881d2af162bc85f7237a52c267c6,1559137168,3,5,8,29,111.0,8.7,965.6999999999999
