folder_name,dvc_commit,time,n1,n2,N1,N2,Volume,Difficulty,Effort
publication-domain-discernibility,23c1405d20191c29e15ffe1bbedd09d0d0fa36bd,1559981599,1,5,1,5,15.509775004326936,0.5,7.754887502163468
publication-domain-discernibility,286c3a661c0a184c0c9f749121ce3b1a2764bcac,1567035753,3,5,5,17,66.0,5.1,336.59999999999997
publication-domain-discernibility,5eeca2e473a81feade4c279e313f8cb4c728ad38,1566935063,1,5,2,10,31.019550008653873,1.0,31.019550008653873
publication-domain-discernibility,50e2008c5d165660e8290870916b7041041984f4,1566991422,1,5,2,10,31.019550008653873,1.0,31.019550008653873
publication-domain-discernibility,c0b574b05d075af7c1a9052a277475facb841e33,1567171710,3,17,11,50,263.6376137881291,4.411764705882353,1163.1071196535108
publication-domain-discernibility,dd5b9526e0c03596bef63362790b0727941f7a91,1566934851,1,5,1,5,15.509775004326936,0.5,7.754887502163468
publication-domain-discernibility,b7d2b8f384a362ad0bf659b9882706eb84bee7eb,1567038971,3,5,8,23,93.0,6.8999999999999995,641.6999999999999
publication-domain-discernibility,52c46f39b4a074e50f5e549222a5d90194749aa0,1566935276,1,5,2,10,31.019550008653873,1.0,31.019550008653873
publication-domain-discernibility,4a625db8c4a7f99d531da7b30b80b102190718ff,1567278671,3,20,14,77,411.6441380011882,5.775,2377.244896956862
publication-domain-discernibility,be631445bb33e0df38eb19e96a61791daca58da5,1566935146,1,5,3,15,46.529325012980806,1.5,69.79398751947122
publication-domain-discernibility,4522a7ee163cc0967e32d1ead93d6a787fa38794,1567035728,1,5,2,10,31.019550008653873,1.0,31.019550008653873
publication-domain-discernibility,5faea8288f60ca98c86bb4b2879073c1c2a61e79,1566890495,3,5,4,12,48.0,3.5999999999999996,172.79999999999998
publication-domain-discernibility,c2091909504243db62cbda5dde8f95b08b2ff23c,1567172578,3,20,14,77,411.6441380011882,5.775,2377.244896956862
publication-domain-discernibility,88b7fc84dd257005cd8dd03d186b44befa600d05,1567626705,3,20,14,77,411.6441380011882,5.775,2377.244896956862
