folder_name,dvc_commit,time,complexity,E,N,P
DS_for_Air,67f6c85fbd0c472441c4b55430f1128b96376d00,1582630002,1,7,8,1
DS_for_Air,5c5ebe44c7dc6d8e71c73437385c6434021c2e8c,1575915357,1,0,1,1
DS_for_Air,d6c45c8252a1d0b03d71dbcd3b0e05f4b3af8865,1576063316,3,0,3,3
DS_for_Air,ec86bcf6defb3b764cf4862db0f5592869ee3c93,1583926061,4,9,9,2
DS_for_Air,2279945fa63d9a66a9cb018eb7e5514314067f9d,1583492805,1,7,8,1
DS_for_Air,b7c0c67d6fd9bfe36542edf0dc5540eac6861736,1583860273,2,9,9,1
DS_for_Air,e7c20e5bb93f49163c9e4dd0266fe6a0efbbb555,1583780649,4,9,9,2
DS_for_Air,0beb39c28e7396881eb5cfad4e6f35993c7269d9,1583492845,3,7,8,2
DS_for_Air,f9011697ac031dd0177aeaee12f2880d4eff019b,1581509767,1,7,8,1
DS_for_Air,2e80ec4ec35987267a5d96fc9acc8f62871323ef,1579868237,1,6,7,1
DS_for_Air,7b7760b578fdfb35dec51e9e505ecba1b85e2a39,1578669467,4,1,5,4
DS_for_Air,1934481b284d3bbe56597481d49b087942087a75,1583612723,2,9,9,1
DS_for_Air,1364cd00e03b5b64da5918ec12a5ea30f144f883,1578239420,3,1,4,3
DS_for_Air,a52af695cf147d208bc7534a74e8aaa097c34290,1581418571,1,7,8,1
DS_for_Air,0348a99ed471e831d2563ffcf7045413e635f6c4,1576007166,2,0,2,2
DS_for_Air,d2658395daf4938aa26a12eeb16ff33d4f5da87d,1583493946,3,7,8,2
DS_for_Air,d9c96a7dde784fc6ca2ece4ab0283224cb6173c4,1572444453,1,0,1,1
DS_for_Air,478a6355faa4266887e78a12930e0e4ba35a07d5,1579000444,3,3,6,3
DS_for_Air,e432cef999433296500a5d3ff0d4561025595e67,1582115972,3,7,8,2
DS_for_Air,4ac10f1038628a2510976f89815b71a0ee3a8fb8,1575665151,1,0,1,1
DS_for_Air,badab64c94c74cefae2bee5299b2a74ae090f2b7,1578768635,3,3,6,3
DS_for_Air,f5eeb4caa875d8f5b03cd2eef04106b301cdcdab,1583779666,2,9,9,1
DS_for_Air,c64c1eaf0d50ba47407e37a1303d1b6e2ca826ba,1576065939,2,1,3,2
DS_for_Air,05842920383f68ee328fba9a8144a99505aafc56,1581954679,3,7,8,2
DS_for_Air,56af6a3ae2a02c8785a491ef8e47e8b8448fff3d,1578327211,4,1,5,4
DS_for_Air,67f5b088761ca9ee8cbbed7cebad0d30b3f7e80d,1582115907,3,7,8,2
DS_for_Air,958f75565bc635fdecc2af2830d7bc4e40395f8e,1577215344,2,1,3,2
DS_for_Air,c6aa05d4c69303bb1967dd389f77b5c993d225d7,1580568101,3,6,7,2
DS_for_Air,f1d015364fdcbefa6204b1ee1291bd49b19a609f,1581954377,3,7,8,2
DS_for_Air,bf62e0f2dd716b19edd2db80ba9ae669c4a39fd1,1583506999,4,9,9,2
DS_for_Air,a137860b21818d3bb83ddd01e28f8b51fbab3f1f,1580297038,3,6,7,2
DS_for_Air,2e4f1fb0745865db3ac42009a69f7d53e85556bc,1583580650,4,9,9,2
DS_for_Air,c2d957e42aa98193d309d6c3157ea74a36482ab4,1581361430,1,7,8,1
DS_for_Air,98239a355ccbedffaab07ca887ac44e468b8a96a,1579522739,3,3,6,3
DS_for_Air,5e2b6113c684b3786deed441bcb28200f8a722d5,1584633118,2,9,9,1
DS_for_Air,c77cd6841d06c53fd70335843e49ba6556a39891,1579537993,3,4,7,3
DS_for_Air,8652f461c69a6cdd70a209fdfddf9168971e783c,1580298052,3,6,7,2
DS_for_Air,a28ac5ea5aa0d2cecdef3248e96fec0cd27786d8,1576499816,2,1,3,2
DS_for_Air,a054893f6e8d22942edf35150517957b9822e8df,1583153048,3,7,8,2
DS_for_Air,7cdf113f86fdb7a68a6d685e9c5f053ca1b408ff,1584532894,4,9,9,2
DS_for_Air,d23348594e58936d3e2cab9a603d44a204ec2ff6,1579536928,6,1,7,6
DS_for_Air,6cd9ed8fddc09b5aeb8229992bb36327170ce64b,1584445768,2,9,9,1
DS_for_Air,cf1fc0cf6566dae3046be6e6164c572c2dcea032,1580240544,1,6,7,1
DS_for_Air,acf4a8e23f16bf9530df1235c602f3c6842f4e98,1576004251,2,0,2,2
DS_for_Air,f6fd8df75c9f2c66f073ec6447f1ce42833b293d,1584389826,4,9,9,2
DS_for_Air,2203a6eedfe6edaaa1e5f9949717df0f318cdce4,1578231505,3,1,4,3
DS_for_Air,757aab73d1ee519a2a7274bf35452d86d3314d89,1579522427,3,3,6,3
DS_for_Air,30463aa9bf63ba404a6b36a6ff2354db168a5505,1581336871,1,6,7,1
DS_for_Air,00f1d96c02aba20e3fb303c5cfa17f7b89728087,1583505873,2,9,9,1
DS_for_Air,6a2ce4e440068dfb281e794a6dfb83576c391630,1578669265,4,1,5,4
DS_for_Air,5a01981b89fdd06c89c6c5ff8bab7cd8f5ea7834,1576008013,3,0,3,3
DS_for_Air,48ccfc7e2f7f10e51a641ea155ef4c9745658074,1580316945,3,6,7,2
DS_for_Air,9b5afe4b1e83b04631339186697fe18665d8cb33,1579622881,3,4,7,3
DS_for_Air,5a7c8f95ea349ddd8dfd65587683736c930eb3e6,1575907484,1,0,1,1
DS_for_Air,cf0d71b1a9b901a4961ad1101e3a55dd1ad8a54f,1583495936,3,7,8,2
DS_for_Air,1b24e5cc86d638577232c945fc8b0be228453fe9,1582110141,3,7,8,2
DS_for_Air,d7b6f7109aa3f80c09c6d1d628a0014bf1074984,1577642327,3,1,4,3
DS_for_Air,5aa6750f61080b06986d9bcdcebc9d2c5dfdd674,1580252350,1,6,7,1
DS_for_Air,1c9bbf7e2a34e09d10615cbe59daf2b57cf6bee2,1576005502,2,0,2,2
DS_for_Air,cc2b7656109e72bf4d15369333f49194a134fa29,1577529900,3,1,4,3
DS_for_Air,09b0a99048f7ab107ad1bb4d4546722281777002,1579536775,3,4,7,3
DS_for_Air,9e3c363a5d178e3f35e1c8219c3efefd9a9864b4,1580722768,1,6,7,1
DS_for_Air,b4926f97c6ea53ba4d4dd5b34fda73408b881838,1580335096,1,6,7,1
DS_for_Air,37728f7adf59d9c1b25f50fbcffd2d28a1955f94,1572984231,1,0,1,1
DS_for_Air,83c353969841c99bf74f7f94c139e599ca237958,1575644536,1,0,1,1
DS_for_Air,90af8d24e3d6841bddd459de301b4fd6b185fbed,1584029199,4,9,9,2
DS_for_Air,ae7d78cc999351ef6462a8f77051a8b27e80ac87,1578661607,4,1,5,4
