folder_name,dvc_commit,time,complexity,E,N,P
bmeg-etl,d023a1ff979636cbd141c7bfaa407a79199e1525,1576865710,56,113,71,7
bmeg-etl,0d465f5d6cf8cb6f681ceb45b1d6a27ab9a548e8,1576263529,58,101,69,13
bmeg-etl,7f3886d1990e85949538bc694f5d74f856f0ec81,1564000258,27,50,59,18
bmeg-etl,c33c27df3a9a0a61ed4fd642930702c069fb54af,1569367766,61,105,72,14
bmeg-etl,f5f6c2d950279df78a6d8cbe5d6f852296bb67be,1565283274,64,94,64,17
bmeg-etl,0bc65b6972c2eaa40b2d8e5a633700bc6241cf6e,1564000258,52,91,63,12
bmeg-etl,455c5ca52604315f21794dc17c980280a7b90284,1576605201,72,108,70,17
bmeg-etl,a98b09574f136db9ecc51cf51737ec26cb6c933d,1568309484,54,106,72,10
bmeg-etl,579bac0dede9e2f1ef4a4806f7b536923dbaf39a,1568051690,67,98,69,19
bmeg-etl,deef4a55496da8f9de025893c85372f01a755af5,1568156774,70,104,72,19
bmeg-etl,754920611d5a13637037fd2b98c46e74522b12d6,1568411346,71,105,72,19
bmeg-etl,f57b1419ba9e1fe5b406c8ce1a04679b56660804,1569338707,57,105,72,12
bmeg-etl,00ac1aaf0aba09a96226853c2458a6c8fc00a6dd,1565214777,48,94,64,9
bmeg-etl,7fa9bbc56bc27da6cb2199f399924a9268481e91,1576793474,66,108,70,14
bmeg-etl,0e42539172a9d37af469545e8085bf5dec3e4b08,1568309479,60,106,72,13
bmeg-etl,3fca8f5ed5edf125fe660433039f9d7d097f5b8a,1568153044,73,103,70,20
bmeg-etl,6b126997d6066f3376ce166e21d0b3064bfd408d,1576263530,68,108,70,15
bmeg-etl,4a45046ded81a087b257bb8639d3115d2c53f81c,1568156664,58,104,72,13
bmeg-etl,b8cac121181d2a599e51a3aff660702c1d109f76,1576263528,43,100,69,6
bmeg-etl,8fe2cf076facf9d9c2a967b0df22d0b2c0750332,1564000259,40,94,64,5
bmeg-etl,7e8c2435c265b26843d868c121b54c54ad65a4f0,1573157274,42,97,67,6
bmeg-etl,a40b349735ab773205f651fd5eeabbf7c1ed5ea0,1566333202,62,98,68,16
bmeg-etl,8b0fb5c47803a392b7667a8fbb182d346b5560c9,1576263530,74,108,70,18
bmeg-etl,1ab1c7508d1cbeb1c9e11bf2ae33d08ae5013849,1568135162,63,103,70,15
bmeg-etl,fc77664bdc54c718e79b0406bde7726097238f01,1564000258,1,0,1,1
bmeg-etl,208d7fd0f441bc9daded130f442e6cb7799f4cf3,1564000258,34,62,62,17
bmeg-etl,a1f08eae236a7fcc20dec9d22e7ef6e5297ee56e,1568156639,54,104,72,11
bmeg-etl,c1cf57f3c6076acc7c87cd168f89f55570d2306d,1568156722,64,104,72,16
bmeg-etl,8da84b1ed6cb8f751295b26e4f27b8fb86856839,1565811096,44,95,67,8
bmeg-etl,58114f58c608bd17cbe109fd1c8c23861fdbbe05,1568156460,66,103,71,17
bmeg-etl,f32301ddf1de7017198ee53cb900bac208e54c30,1576263530,76,108,70,19
bmeg-etl,2beb8f4e68adb9c9e99af6efa0f719739ebb3f5f,1576263530,52,108,70,7
bmeg-etl,9b345655a87993637d5ea079d5638563830d09b8,1572644568,46,97,69,9
bmeg-etl,0565fa9ba2721a66b2c9be6475e1847f83964e22,1564000258,31,47,58,21
bmeg-etl,d6a97be9806d6867ca61fbecb425ad9bd41d8717,1576263528,47,99,68,8
bmeg-etl,f9412fbefc1ce4715fea9295a199f3660b45575d,1576793481,56,113,71,7
bmeg-etl,0ff20ccfed964aa53e81add94dcd3e2b617f21d1,1564000258,56,91,63,14
bmeg-etl,f347410f2c8177fc4eff29a396e8b90e21f89496,1568144555,55,103,70,11
bmeg-etl,23d8799cad3b9b181cfea3d92ea0f2dbd8e072b4,1564000258,52,91,63,12
bmeg-etl,e79937e8955b08d9e4c7580fc67d4d3393fd2220,1576263529,60,101,69,14
bmeg-etl,d9e5695421930b53082f204f0d575d745b90c223,1572995222,48,97,67,9
bmeg-etl,9185dac1f37e4c97383ce8c364805d132a887618,1565391823,51,94,65,11
bmeg-etl,ac55c8195339e4b83f9e2f23085b4e83ac5d335d,1568309472,52,104,72,10
bmeg-etl,ad958d4949849375b159cb80ea6f53ea314ee53a,1576263529,53,91,66,14
bmeg-etl,a6e1bf0ae81a1950a1d8d2f7cba4ebbf8d45f8aa,1568051770,47,99,70,9
bmeg-etl,362d465253e4995c56f81c494cec0d15dd5526f7,1568747309,59,105,72,13
bmeg-etl,fc52c3e3b02a0b313ba609db50d4ec5a12a36937,1570662320,50,106,72,8
bmeg-etl,8351c7e04b57fc0764b76d9cc9be0a6a3fe057e2,1564000258,57,87,62,16
bmeg-etl,38e8dc0a357aee4ccc32567831b88ee27ce674ec,1572633252,64,103,73,17
bmeg-etl,b1d9c93ecfa4fad7637f6f1656fe2f869311726e,1568410171,43,105,72,5
bmeg-etl,db332ee0e71d996ef70d16385df4f2cf744d5cb4,1569341491,59,105,72,13
bmeg-etl,117d5d86070c6d27b5242d8904e33d7b5ae88df9,1568051764,41,99,70,6
bmeg-etl,57ed4c75017828defe5ac787ef9dfd4a37da6800,1568051764,47,99,70,9
bmeg-etl,1845bf095208d21811508e047619cd9a18261aa1,1568051770,45,99,70,8
bmeg-etl,d153c868a22c3f37b1225668fafc52e26c84eff6,1576263529,46,95,67,9
bmeg-etl,84e15171c3aae3ee4af349aeb66182630ef7d09e,1568309484,64,106,72,15
bmeg-etl,7283b47ee876bbeb86e733c84dbcfcf16be88731,1578591295,62,113,71,10
bmeg-etl,afa49e92a11260e45b960454a617d5c47ca402cc,1566335963,40,98,68,5
bmeg-etl,28a1f3eebb463690f71621a8fca32efd00143203,1576263529,73,99,68,21
bmeg-etl,6b489d864d07837e1e76122f008aba77bd8737f8,1573250698,54,99,67,11
bmeg-etl,0dae26d66b35af97568312bb46d67178c45f25d2,1568653509,65,105,72,16
bmeg-etl,cc00f3b641c34e23f47d1b3a2c2854cdd60bbc8f,1564000258,51,87,62,13
bmeg-etl,444a0af4a9b38c8103b07174e1533e7df1215c4e,1568051761,57,99,70,14
bmeg-etl,055cc4fbfb0d61cc83778b0850b8fdac2622f56a,1564000258,27,9,36,27
bmeg-etl,7695b8597e0413f465e26cf7bbe433eef2add86a,1576263530,59,105,70,12
bmeg-etl,13f328707f48c4625b915d5a90eda5a40dd3352d,1566338067,50,98,68,10
bmeg-etl,e1198bf457dc3bf75a825180eee0ae2074da7c21,1576263529,55,99,68,12
bmeg-etl,c794e826b022cedade17f6073f35ae3c8de4315c,1568051908,67,99,70,19
bmeg-etl,ce2ee4a9d4f759f8f71582aed0477fe37acf3c52,1565713317,57,95,66,14
bmeg-etl,aad9b85343627f7e9499090e3c428f2dfb7ca137,1577122856,52,113,71,5
bmeg-etl,517b88fbb2d785886877da5ad9a50835a49fe717,1572995211,62,97,67,16
bmeg-etl,1c90d4005aa092af8682e384ac45c5c5200d9a83,1568156570,70,104,72,19
bmeg-etl,e1714f7b3ea3732aaad27ecea2e8371614e085b3,1568330241,57,105,72,12
bmeg-etl,34bd3724b038c78bedfdbc6058772473d8c1d2f7,1568324892,72,106,72,19
bmeg-etl,8daef010910df254dfc12c3a636d15ac585f1f25,1576263530,68,108,70,15
bmeg-etl,e33368feb343c742fc7f975a0140923431e01e54,1566251036,62,98,68,16
bmeg-etl,36f7037b5f5b600031b9eaf457b0a6b25c3e9cd8,1568156574,74,104,72,21
