folder_name,dvc_commit,time,complexity,E,N,P
bookdata-tools,c7fb75866fea66072a0bd0de02db35bbd27e65eb,1573075207,59,104,87,21
bookdata-tools,ae18e8b417941c45f6a2c80ed2fb7dde4faa14e2,1571194279,62,99,83,23
bookdata-tools,10a126641d2d8d27c00f951fa92080bb9916a15f,1570746200,18,9,25,17
bookdata-tools,17d621feaa416080d1d3c727592997217d425bd9,1571069636,64,99,83,24
bookdata-tools,218ea6b5840d9588056419e81932211d5fb972f6,1569542117,56,1,57,56
bookdata-tools,ab4ea7a3b6f0f270b460029c6dee3e8c637052c4,1581464850,66,108,90,24
bookdata-tools,34b8873c8be9ef101582c27b77caafdb2528b63e,1571197187,57,99,84,21
bookdata-tools,7db576c17f75701fe08e50baaff159230240d80c,1570826316,37,53,54,19
bookdata-tools,841d59ab523d5157f98b3dd197cb7499f3a5da93,1570811772,35,45,48,19
bookdata-tools,b3e9b77ed7ea57672bc4d1cb3b25ed957f62f14d,1570838187,51,79,74,23
bookdata-tools,6ef66ae4e05fa4e49dbb05aa0f5ac66e31648a20,1583621234,57,106,85,18
bookdata-tools,fcd8cf706c8df2ffb428015c39807f50b4dad049,1570754059,25,39,44,15
bookdata-tools,ab2e6fbe0c03ca433b4f0ddd00b862654deff60c,1570834158,45,55,56,23
bookdata-tools,fec240ef558caa27f65ce84b95d1d868dc4ce2fd,1581529304,64,108,90,23
bookdata-tools,c6a228103c18032f4e03ccda08176c1a73d2cd30,1582999891,67,106,85,23
bookdata-tools,42b653af35c47c2c945e7f341cdbe7ab425ac88d,1569363552,6,0,6,6
bookdata-tools,2044f24a7f6ccdafa128229795ee5ef8e7fb34a4,1570836324,35,55,56,18
bookdata-tools,9c4f76b92de5cbeda9f8014e325755db7fe1aa08,1569366163,9,0,9,9
bookdata-tools,391c520297450e59d54d2c7f4f531a1555e72bc1,1570747188,31,29,36,19
bookdata-tools,de9caf425103259f6e8fd0a5b7c911b0f1b71ef7,1570743229,16,4,20,16
bookdata-tools,b6222ebd207f041030571d7525a3b7fcea0f096b,1569542370,15,3,18,15
bookdata-tools,3f8717639a76738924f5dc89896e9047f786e24e,1582942529,60,108,90,21
bookdata-tools,cd606d1b46081a3cd4b2c4aa7ea2b5b2ee75dc55,1570859317,58,99,83,21
bookdata-tools,5ab70a5ed3865e49352d465ddab41d39a04295ee,1571070468,68,99,83,26
bookdata-tools,80884383d3cb1797f476f1b9269342bee69cf3a8,1570813227,33,45,48,18
bookdata-tools,ac8d22e5026330084e64659788558873b4753be1,1570746556,18,9,25,17
bookdata-tools,452d041f7ead406a044a235a41943d0d9bce3317,1569366286,10,1,11,10
bookdata-tools,dfafc953c4dee93decf98664aa2bf47d406093b8,1569436330,52,1,53,52
bookdata-tools,d192f80df7398c018e5bed9813ef2ec8775822fd,1570858335,58,97,83,22
bookdata-tools,0f00cdfb79fc5368e72351d9fc2cbcf387202bc4,1583785765,61,106,85,20
bookdata-tools,672938e6e610b506da22842ea28d3091c311dca9,1571243386,66,99,83,25
bookdata-tools,0b652a51d31d05aa8a178b2a81f2b273bb89972d,1583352198,65,106,85,22
bookdata-tools,3821f596f7709edde6d72f6dab404aff6e6200c7,1570809758,32,42,46,18
bookdata-tools,ca925535f984f5ac28d18b78fc6701c5d45d850c,1582940629,76,108,90,29
bookdata-tools,bfff1f3932daf4b99c28d5ca24b80d56d0336269,1570858541,64,97,83,25
bookdata-tools,d2bce673e752db24aee65393e7506452c9edc044,1570754091,33,39,44,19
