folder_name,dvc_commit,time,complexity,E,N,P
formatml,c8cdc99144eaffdc8fc8a6901d0091a69616f705,1563982426,3,7,6,1
formatml,4a490f0d9124aec5e5bf5d3f213f66325fd9a890,1565001362,5,7,6,2
formatml,56d234049c954826e0fcb90d8ba514c41e5f6d4c,1563884359,5,7,6,2
formatml,9618043187fc52f5f03478c2df67b9a3289278ba,1563966655,3,7,6,1
formatml,91e9170830b195ae1993a545fc38a868b2f1d353,1565424086,14,13,9,5
formatml,fb79630b440777bc78bd62c564a259e1cac4d63e,1564006418,3,7,6,1
formatml,d65623c05c4900a72689bcf9e1978366c43235d2,1564058232,3,7,6,1
formatml,0f4e02ffa2d23b3af8a427823b2c88245617315c,1563192885,2,5,5,1
formatml,36888d5ae4a089e6830d5171342dddcebc2a5d7e,1563919644,4,5,5,2
formatml,0cbd4743c4584251e0101a96f32e42f0067c979e,1562809502,2,4,4,1
formatml,d226f568a52c85e7d5b2cf7fd1a1fca8432f9dcc,1562850371,5,7,6,2
formatml,186357e7340f3e21d1b21aa7a92b689e25cb5a6a,1564003950,5,7,6,2
formatml,e404034dfcce30f6c766aa28df92a41fddbcaed1,1565424627,16,13,9,6
formatml,c1041f6716f97ceca9e4891fc8dcce4d0bd15913,1565002049,5,7,6,2
formatml,940bdddd36075df20fd71a5ecec706a90011fe8a,1564059338,5,7,6,2
formatml,93deb66263ced604838fedc42f2dc9f248270d67,1564007563,5,7,6,2
formatml,29fd11ca14feb90742abf9b008f889a2cd13a497,1564004510,3,7,6,1
formatml,f0016da0d2e8d9ba96574b8960e8c598d5928081,1563983582,3,7,6,1
formatml,8d06fee50b8f55b1e5515062eef125baa25bb1e0,1563967380,5,7,6,2
formatml,5907737b24ea207a20df85069bcdda50a8bdb4d5,1563920187,4,5,5,2
formatml,abf3dfe8630105dd1e5f0b697a6746da413ef2d6,1563884786,5,7,6,2
formatml,ce806e6d131cedf0270432a95ca1c31019aea088,1563193367,4,5,5,2
formatml,0a958ca89fd561c95e0aee78b69372f30fe94710,1562851011,3,7,6,1
formatml,60f765d2e6efdb5622bf189d4d005ae9acbf6287,1562809953,2,4,4,1
