folder_name,dvc_commit,time,complexity,E,N,P
lease-eda,b908ff43be53ceede2757a99246d5cc41aeb31eb,1571122770,3,0,3,3
lease-eda,2d873233f9d5432364baad3fa338f5c77289c3bc,1571421651,3,0,3,3
lease-eda,b8b27b00edac5c83e09375869a30313969c19aca,1571125719,3,0,3,3
lease-eda,29be5b653f419146279e585407e475953fa10596,1570865807,3,0,3,3
lease-eda,dc072ecc3044f9d08a9c351c3f6f013eb13ad6f5,1571539994,3,0,3,3
lease-eda,393edd562d6dea282b87659b29a0c4ec16333733,1571539966,3,0,3,3
lease-eda,db7e29d7b24997b04102d96e753a4bf0e305c077,1571539942,3,0,3,3
lease-eda,79aeb2ed3243191a7ea7edee9d9c058b21c02198,1571539905,3,0,3,3
lease-eda,f89ee3f442ea2f74144ad362899c887219f2724b,1571126227,3,0,3,3
lease-eda,9609bb991f8319a5626eed9c3e846bcb591e3dbb,1571123188,3,0,3,3
lease-eda,f67b762912116ef81378efae9d179541ba0cf1d9,1570977232,3,0,3,3
