folder_name,dvc_commit,time,complexity,E,N,P
mailsense,cf12553a349a2d04d4a978712103ec8cc31679dd,1558964918,1,0,1,1
mailsense,5af9b0b2167bdb7ee4544a6e3558462ed1c17330,1559134323,1,3,4,1
mailsense,48a0c24aa9f3723385bdb6dd24237c918b4cac78,1563084591,1,2,3,1
mailsense,cd9d87b736b4661beacb80098dc3052334bedb1a,1559138174,1,4,5,1
mailsense,be2dbb096421d6ca439ffee94c5476a9fee40141,1559058443,1,2,3,1
mailsense,202e414a2d50ccbd301cab58d993b131c5f53d4a,1565185391,4,5,5,2
mailsense,0ddc10fafd19528a5d277e273184464794ac312e,1563089697,2,5,5,1
mailsense,ebde785c8c9302ce01c3d3d011e4c730a2b4d30a,1563084136,1,0,1,1
mailsense,d5fcad3f6b4dc78bfe04974ce70ffaf09d93f399,1559060003,1,3,4,1
mailsense,c70ddbe2f2ee8360c2d51d11cb0026c9260bbd9a,1563082091,0,0,0,0
mailsense,c86a30579bd2e588b57a50d2a2c76d72ed972f19,1564323054,3,4,5,2
mailsense,c3414a97706bb280e2277657d7a80d40c8e5494a,1563089560,1,3,4,1
mailsense,78f8e5647ba40330ea8663e294f18ab5da0ea435,1559137235,1,3,4,1
mailsense,6b677efd37b1881d2af162bc85f7237a52c267c6,1559137168,3,3,4,2
