,comp,E,N,P
aerubanov/DS_for_Air,3,6,7,2
AlessandroVol23/kdd-cup-2019,3,0,3,3
antonkulaga/rna-seq,7.5,0,7.5,7.5
arsalanc-v2/mailsense,1,3,4,1
bmeg/bmeg-etl,48,82,67,15
BoiseState/bookdata-tools,54,81,76,22
CandelaV/UNHCRs_population_of_concern_HDX,1,0,1,1
DAGsHub/client,2,0,2,2
gmrukwa/publication-domain-discernibility,2,0.5,2.5,2
jmhsi/lendingclub,6,12,10,2
kaiml/lease-eda,3,0,3,3
kjappelbaum/learn_mof_ox_state,2,2,4.5,2
MikeG27/BCI_Image_EEG_Generator,1,2,3,1
MIR-MU/regularized-embeddings,1,0,1,1
opt-out-tools/study-online-misogyny,2,3,4,2
phramer/phramer,1,1,2,1
piojanu/Planning-in-Imagination,4,6,6,2
shuiblue/INTRUDE-refactor,2,0,2,2
spacy-pl/utils,14,29,29.5,7
src-d/formatml,4,7,6,2
Valentyn1997/xray,1,0,1,1
wildlyclassyprince/data-playground,7.5,0,7.5,7.5
yukw777/yureka,20.5,5,24.5,20
deep-projects/pcam-with-dvc-cc,1,1,2,1
deep-projects/pcam-with-dvc-cc-sshfs,1,1,2,1
