folder_name,dvc_commit,time,complexity,E,N,P
phramer,cc51920ffcb4ca5b3473e751dbd672e5345b2988,1572962429,0,0,0,0
phramer,13298bb064f0df5d60803d95f933adb83cb01123,1572958887,1,0,1,1
phramer,ab78498a5798d5e6f8fb8b0bfca8386c120eb209,1572967292,0,0,0,0
phramer,94500570d63fd22ef7039e220ad573e54f077c5e,1572963995,1,0,1,1
phramer,404e39b5ef98e9ad6c0807fd0e3f41a1144f5636,1572947754,1,0,1,1
phramer,437cdb8e5ab44e9bdc240cc5f5b54341712d4246,1572957818,0,0,0,0
phramer,200e908a79b95cd8563fc0abdda5f6492c0ba8fb,1572964290,1,1,2,1
phramer,151c2a83325c685cafe1ba38c1ae9a23f9e6d6b8,1573788440,1,1,2,1
phramer,f2cc662eadd2616974d25c9e6a236e25081c576f,1573788140,1,1,2,1
phramer,e60cb115f3be606be9427a0baa6c28bb51f77e11,1573767335,1,3,4,1
phramer,93bdc8c81bcc1d67d5842f187f406bc2867c8f0b,1573766651,1,3,4,1
phramer,92474611620335cfe9af9cb758d0fd55fdc4650b,1573484219,3,3,4,2
phramer,6638ecfcce83dbfdcd0f9cdd798695f7b15e5c86,1573482749,1,3,4,1
phramer,0ab0f503452d96addfba86d7f56d98ae2016367a,1573310726,3,3,4,2
phramer,42c819a36ed362a127c01732d1b70467f8a9d6f9,1573309245,1,2,3,1
phramer,8fb602baa9fc85d6865c0a6041e12d5867547e4d,1573305178,1,2,3,1
phramer,9f16182159e27022f50f255b9f9d7db495a369c5,1573303423,1,2,3,1
phramer,9828bfa8f97b6ac3709d5885a6e31054122bae65,1573030768,1,1,2,1
phramer,d0290c22dee7ad6973206219b55b4b4457b10ee6,1573019872,1,1,2,1
phramer,a19f7a6af5d216ed41441f16369c0d17a7494798,1572963749,0,0,0,0
phramer,7ab76663f20f8fd9d4dc195d66ed2fb9f5b68989,1572962448,0,0,0,0
phramer,b19bfcf52be076ea4e64ad07392bc9a335313c3a,1572962147,1,0,1,1
