folder_name,dvc_commit,time,complexity,E,N,P
rna-seq,62cb431343b4d363ec0351f8f239b633c84d45f0,1580147986,5,0,5,5
rna-seq,dfed0d50b9861665cbb420eaf84c9355f772acec,1580784307,8,0,8,8
rna-seq,0bfad83f7ffe6e363430a4698048aa1e236363c8,1582655928,11,0,11,11
rna-seq,a71293f72b6a4899a6b7227598fc99428599301c,1582049146,10,0,10,10
rna-seq,22eb43e281dd953a269d00127f71cba2012ff22c,1579975440,3,0,3,3
rna-seq,1fed6ec846d3f0ec1dad9f03840eed98dd0fea87,1584484466,11,0,11,11
rna-seq,abcf8071cf646981dbad00faf3f56b23ab00c72d,1581362767,9,0,9,9
rna-seq,624a973e2fe29fa30f2e0996115f934d0c69039a,1579975622,4,0,4,4
rna-seq,ce534df15ab055684d726848a95e9a475c1d7ab1,1579975219,2,0,2,2
rna-seq,cf3783cf5ea28b5e5d68275a3464a2f5045528e7,1580755783,7,0,7,7
rna-seq,cc6d52e19138f66d5ef696dae75384aca72770c9,1579974939,1,0,1,1
rna-seq,5df2a20168a598c2476202b1b753a04e6384de17,1581537530,10,0,10,10
rna-seq,3c5d5ba536fc9a1345a74b939756df20512cdff6,1580743834,6,0,6,6
rna-seq,e29ab82135bf15388096c0b3cd50284864efbc4a,1581244580,9,0,9,9
