folder_name,dvc_commit,time,complexity,E,N,P
utils,bf73360ad713866b1f935492da14ba74c532c28e,1547496303,5,12,15,4
utils,c503bd367a04b4eec2b4c0977b6f3abe2578053f,1551316604,5,14,17,4
utils,885ff763b0f574270f282bfe76912785042ee00f,1551820315,10,22,24,6
utils,a987a8a4517c6582a0d4f3e6d6f86a5c869f6103,1554305323,16,34,34,8
utils,2ddfa2d4dcb7829379f8649039b4502096e2ff15,1551862106,8,25,27,5
utils,a131d26800522a891b254bb12b0f088cf7c6f75a,1553955323,18,34,34,9
utils,c7350c19ce9b9f34b43959f55556325b0e8c9a11,1554914857,14,34,34,7
utils,a43f86a2267964128220a52625991c61df565f67,1551316604,5,13,16,4
utils,f6b60563d972a2845ef1114cc56c1088b1b49b0f,1557184134,23,46,47,12
utils,39f497f0bbd544a5db40b4ce411db22f397282f8,1556132630,19,46,47,10
utils,cc3177b8d8f6cb78b9d2cc711a43bcb081f18efb,1547587114,5,13,16,4
utils,56f4843ef8e4f8996c99b5bf401ad169cbdecb83,1551807266,8,18,20,5
utils,93cc2bb4bb3ba75c07b41144f58a23dcfe2ed441,1558189921,39,64,59,17
utils,41113dc0c78ab814be3feae456bb0942864ec053,1554977540,16,36,36,8
utils,0f17228ad310faaa02ebe3132086c4114ed54403,1552054319,15,27,28,8
utils,22e61c0b8b7e22045b61cc533af70ef7f2d8e636,1555527057,23,39,40,12
utils,e0af7a1069fa05ca689637b67867b4d26083fff5,1543487635,4,9,13,4
utils,ec9e75867fe3425293d358c12dcab2421942a73e,1558528891,29,61,58,13
utils,fddf085a058035f1622508da0a785c3cc990514d,1552054319,10,25,27,6
utils,f220039eafc8a96dbc1b5c41c34667b1ec3c9d8c,1558195948,35,61,58,16
utils,2adb6ad232683a81a7fa7a707fe518795887311f,1554930236,16,34,34,8
utils,0a32304cbf8645979a093d4135e1c81bef186c28,1543487342,4,7,11,4
utils,cced674c68b161aa84599cd2810a541f1f53cbeb,1547567184,5,12,15,4
utils,29d21063269eba7f40e092911ea2896299e5cddf,1547077069,5,11,14,4
utils,1e99cc711d652fd93c5bc00219e0debbdd9ffb0f,1552061379,14,30,30,7
utils,715f1464c9e43d25bd6acd49ed256cd28fda82cc,1556017662,21,39,40,11
utils,b2be5bc71262a91f395127d332500b6b7a97bbfa,1542924344,3,6,9,3
utils,e6c2ae98bc710d61b0b0b20bb6396c7eff102ac7,1556129178,21,45,46,11
utils,c465b5c2213829a723043ece1f5ac62293e9d7b6,1556116198,18,39,41,10
utils,e123a0b096e8e15227f5b45c720a54005b1750dc,1558540931,36,63,59,16
utils,ad829a2dbd96b5a6f690bcd184db0608b2568c5e,1552056298,13,28,29,7
utils,d280d7a4cf338f4ae4ff71e2569e0eaf9776dbdc,1558193020,35,61,58,16
utils,8b55e11e8fe23c3a773cb17cad582ebe00d10d13,1552054319,19,28,29,10
utils,444545068453e487ac49c6576636a08c7a0a591c,1558189237,30,58,56,14
utils,5074f96d104bc8214dbb5ba5208d4b71ae7df7c8,1556140415,21,46,47,11
utils,cf76eb4ffb71b2df51d926140e4c731e08986a02,1555703841,21,39,40,11
utils,e3631535ed3ce0d7368b27329c8b297c97e8558d,1541268981,1,1,2,1
utils,edd1bfd3c359fad759228b2feba97ca41a605b02,1542637624,2,5,7,2
utils,e43e80c5282e716358c506e4a773d68cc9104196,1551781720,5,14,17,4
utils,c99a1350bd6bb4c650d8121af2a8d7970d88682b,1555509078,18,36,36,9
utils,e44b1af78a6da270c624845d3b5340d75d0e8851,1547075756,4,10,14,4
utils,7af72aef455e6bcb549778d44aa904b5c413fe52,1556025393,19,39,40,10
utils,72318479aa2c4fa5b504f562f123ee8697043563,1553705559,12,30,30,6
utils,8c0ac69ee523becaf3cceb294738a9c5331a84c7,1544974925,4,9,13,4
utils,d0fb0913ead0464c603a0e60e17ddec2167c01d0,1544620012,4,9,13,4
utils,cebf02e3934db8e9fd9ff730b4f09e52abb4cbb8,1543253174,3,6,9,3
