folder_name,dvc_commit,time,complexity,E,N,P
yureka,b562c7d3d3551cfcbf52486a929367c539d4e9ae,1525582840,2,2,4,2
yureka,9227400b4bfb3f4f6cc53cb5a82568c4ec0de44c,1525589352,15,2,17,15
yureka,52739a533d5e77a127b2b55f1a2e9cb0cc157995,1526097950,17,2,19,17
yureka,aba8f5c0b9adadf45b508953af3087c0b725bd31,1526098104,19,2,21,19
yureka,f0915f16256d482ffc7fdb54c056be0af5df4102,1528202643,21,5,26,21
yureka,d01e87f49aeee8c68e031122bcd48e5ed6aa0d3e,1527660894,19,0,19,19
yureka,1d905f6079f5279c7c92ac48f0094fe1c1db31fa,1528697002,22,7,27,21
yureka,cf459705262706ba45e571f0b7448a62fabde4fa,1528697047,22,8,28,21
yureka,e0a60b517a8a3749e5bbe285a6c45d374650dba4,1528316460,23,7,28,22
yureka,41cc3efc72ddb0366a4c864118d5ccfe5deac497,1528240619,23,6,27,22
yureka,c2fadb7120e717311f2c46aec6879242dba4fe17,1525589255,8,2,10,8
yureka,2e6211aa8ea70c1dd5c8cbd6317a5df30ac2c903,1527854876,20,5,25,20
yureka,b244546324371cc3a8258459da6b87be5e74f22c,1528396375,24,7,29,23
yureka,2de53f5c0dee79bf5e7d8d90a1d64f88099ec971,1527660919,20,0,20,20
yureka,b2dc40ad3503e89c2e09f2eb4d22d7f622bc6616,1529163118,22,9,29,21
yureka,bfb3d55aa8384de8bb55465bf8aa79d4d6b38efe,1525581069,1,3,4,1
yureka,650653fe61a917c37d3a9013d0a25207977b9f5d,1527607639,19,4,23,19
yureka,db6102911444a7b47d0c3212cc9050243baec67a,1527738400,22,5,25,21
yureka,9e62c5609a04341b5b3171b667b227a9f4cd0ec8,1527661297,22,3,23,21
yureka,2b2b2603f34f5a2a4a7604ee34fb0be225fbdfae,1529036907,22,9,29,21
yureka,f410fc8c7058d6e51c3c4d2c85fa5f93ea6772e1,1525581546,1,2,3,1
yureka,31f979f4e3ddbb96e474c7519f7d397a88e31ff5,1527611438,19,5,24,19
yureka,b1bd98818cc6098dd2ea1da3b099e07b7a673330,1527545943,19,3,22,19
yureka,2a724af69efa4dd44e59a0b0995dab3cfd8a80bc,1528015695,22,5,25,21
yureka,6b481ea84809d2e759eb320c3edd8d9e917a2eaf,1528485284,23,7,28,22
yureka,4f9f2dec31e91f1ff4dffeeda606557a3f6aec26,1528412658,23,7,28,22
yureka,bda98b8cebdb2c44a5e78a4f7078f3d1960d30e1,1529466841,22,5,25,21
yureka,ac26725a2af5813130468a1cb6ed867189169c12,1528471565,20,7,27,20
yureka,8c4f01b998779200e88c95e6abfc386337f1da59,1527545011,21,3,22,20
yureka,9d73f899ee61754c6283e39cadb18e2625f21cbe,1525583162,5,2,7,5
