folder_name,dvc_commit,time,n1,n2,N1,N2,Volume,Difficulty,Effort
bmeg-etl,84e15171c3aae3ee4af349aeb66182630ef7d09e,1568309484,3,80,212,7577,49655.1821307612,142.06875000000002,7054449.656339581
bmeg-etl,7aa644c4b4c36fb360b60fbb6cb4ed43487ac1bc,1548373040,3,30,124,2891,15208.848269865737,144.54999999999998,2198439.017409092
bmeg-etl,7bc81055e26379caa8fb7d17150027b5e6ae3922,1564000256,3,65,168,6423,40122.467586680985,148.22307692307692,5947075.599444276
bmeg-etl,fc77664bdc54c718e79b0406bde7726097238f01,1564000258,1,2,1,2,4.754887502163468,0.5,2.377443751081734
bmeg-etl,07e13450ff13c7f5f00b1a1f9730ed0e215f990f,1548367366,3,30,122,2888,15183.626299268944,144.4,2192515.6376144355
bmeg-etl,9650fc786578af9c55c10687ec0cd84a56380f59,1546642756,3,28,113,1024,5632.921204909877,54.857142857142854,309005.9632407704
bmeg-etl,db332ee0e71d996ef70d16385df4f2cf744d5cb4,1569341491,3,80,212,7571,49616.93189417311,141.95625,7043433.588202212
bmeg-etl,09004b62815136eda28e02571d411c4b098f8fb8,1548890898,3,39,134,3962,22086.932163701804,152.3846153846154,3365708.6627917904
bmeg-etl,f33393aa30ada0ff1dba7f0223f6524485845e7b,1564000254,3,65,144,5835,36396.94032783578,134.65384615384616,4900988.003375118
bmeg-etl,720599d6cad0b4cecc95520ffa0cf9b9954383ae,1547240253,3,30,119,2796,14704.408857929891,139.8,2055676.358338599
bmeg-etl,4df8667499a007055ad0ade489143f490702d02b,1557872363,3,65,140,5790,36098.65464861451,133.6153846153846,4823335.62497257
bmeg-etl,f9de6487d5c4601b1e1f99afb1432b701f243722,1547068299,3,28,148,2657,13896.520650635184,142.33928571428572,1978020.8233252333
bmeg-etl,0ea492bfed12231f4554a02719b60387bc9ffc74,1551300747,3,39,132,3996,22259.486321230725,153.6923076923077,3421111.820755307
bmeg-etl,9185dac1f37e4c97383ce8c364805d132a887618,1565391823,3,57,192,7359,44602.93088743992,193.6578947368421,8637709.694754483
bmeg-etl,e79937e8955b08d9e4c7580fc67d4d3393fd2220,1576263529,3,85,203,4414,29823.1957832484,77.89411764705882,2323051.5209516194
bmeg-etl,23d8799cad3b9b181cfea3d92ea0f2dbd8e072b4,1564000258,3,57,186,7341,44461.16551314532,193.18421052631578,8589195.158736836
bmeg-etl,fd14f897741477bbfede4f500438f41663fc3b8b,1550011344,3,39,132,3999,22275.66327349906,153.8076923076923,3426168.362720105
bmeg-etl,28467312619fe0060cfe6e4476fdec47f68eed30,1548453592,3,30,126,2922,15375.313275804567,146.10000000000002,2246333.2695950475
bmeg-etl,3b489b90ec68379aa694a43acdf6c8cb45716a4c,1576795600,3,87,209,4462,30323.44581295591,76.93103448275862,2332814.0554725737
bmeg-etl,ba8401111022a83c41f369a3633574c2686a5b43,1549923525,3,39,132,3987,22210.955464425715,153.34615384615384,3405964.593717897
bmeg-etl,eaa979a4919d7611e0f50df8abe9a4f988a2cd94,1543258402,3,28,103,771,4329.967575278129,41.30357142857143,178843.12502889842
bmeg-etl,a9211e5d1e9c0b42bf3104615ee95bb898067640,1556126316,3,44,132,4088,23440.364954079632,139.36363636363637,3266734.4976912797
bmeg-etl,68ac7c47e0d15d0d7feacf455ae4c9c6ac530621,1547489302,3,28,120,2673,13837.070294910542,143.19642857142856,1981419.0481229932
bmeg-etl,6b489d864d07837e1e76122f008aba77bd8737f8,1573250698,3,79,197,7496,48908.64757152692,142.32911392405063,6961124.472079097
bmeg-etl,ff8aa249275c25d34544ca1db10177e991fd2bad,1548356692,3,30,122,2952,15506.467522907886,147.60000000000002,2288754.6063812044
bmeg-etl,f910a12d1dbeab396c97f8425294037c391d584e,1547584014,3,28,120,2673,13837.070294910542,143.19642857142856,1981419.0481229932
bmeg-etl,a334a4db0f91bb3606c055e885943df1a82478a4,1547152314,3,28,117,2658,13747.894761323578,142.39285714285714,1957602.0147641823
bmeg-etl,f70595d290fe6066ac04c29ab093d72b501a5d11,1550623472,3,39,132,3996,22259.486321230725,153.6923076923077,3421111.820755307
bmeg-etl,08b84f8fdee19b55c41f645e9213ba5f4256b23f,1544479365,3,30,106,1023,5695.120960755694,51.150000000000006,291305.4371426538
bmeg-etl,c809bc6b962cebcd5012e6cd7a15e10c2db334a1,1547156135,3,28,120,2670,13822.207705979381,143.03571428571428,1977069.3522302648
bmeg-etl,0c270df661f752204d7fb71111cd591fc48badac,1548375930,3,30,126,2896,15244.159028701246,144.8,2207354.2273559407
bmeg-etl,ac40100a6b30f71513b7183ca93c46e9cf697fd2,1564000257,3,64,172,6702,41698.297095206726,157.078125,6549890.323408019
bmeg-etl,57da719ded8b81711d9e63f236a73001b4207265,1564000256,3,65,166,6010,37596.17050756209,138.6923076923077,5214299.648087266
bmeg-etl,f5f6c2d950279df78a6d8cbe5d6f852296bb67be,1565283274,3,57,189,7354,44555.675762675055,193.5263157894737,8622695.777860852
bmeg-etl,a6fc2fcc2bc42d4c64e9a5730d46057243b912ba,1564000257,3,64,172,6702,41698.297095206726,157.078125,6549890.323408019
bmeg-etl,eeae66842828af9a5ce8e659d6358ebdbe4fe519,1564000254,3,65,147,5852,36518.68958466079,135.04615384615386,4931708.571910038
bmeg-etl,2306501fb96a2d8473b6c64a57fe71f462087f0e,1564000254,3,65,147,5804,36226.49136828077,133.93846153846152,4852120.520803882
bmeg-etl,0bc65b6972c2eaa40b2d8e5a633700bc6241cf6e,1564000258,3,57,186,7341,44461.16551314532,193.18421052631578,8589195.158736836
bmeg-etl,579bac0dede9e2f1ef4a4806f7b536923dbaf39a,1568051690,3,80,204,7487,49030.428266489194,140.38125000000002,6882952.808085088
bmeg-etl,f41a13283ba089530ed0d14501982c297f7f8d95,1549664451,3,39,132,3963,22081.539846279025,152.4230769230769,3365736.2465693755
bmeg-etl,455c5ca52604315f21794dc17c980280a7b90284,1576605201,3,85,206,4418,29868.411804578864,77.96470588235294,2328681.94151699
bmeg-etl,5ae20f9f11e3f76fb7c7ffabffcb10cc3e8eb93a,1546640541,3,28,113,1024,5632.921204909877,54.857142857142854,309005.9632407704
bmeg-etl,227a1a85720e7c5dcd746290b988f42a8348c6f2,1548356692,3,30,124,2888,15193.715087507662,144.4,2193972.4586361065
bmeg-etl,7557d822a8640ba9680bc55e7587c2e9fce421bf,1550010974,3,39,132,3993,22243.30936896239,153.5769230769231,3416059.0119333398
bmeg-etl,90fa76608f4d7b59ab22ca8a3ff483d5e58e2e65,1564000254,3,65,148,5851,36518.68958466079,135.02307692307693,4930865.832919622
bmeg-etl,a6e1bf0ae81a1950a1d8d2f7cba4ebbf8d45f8aa,1568051770,3,80,207,7521,49266.30472544903,141.01875,6947472.709501916
bmeg-etl,75e1335012520d1eaf20cf8f0b44f030b7508588,1549998040,3,39,132,3980,22173.209242466262,153.0769230769231,3394206.645577528
bmeg-etl,cc00f3b641c34e23f47d1b3a2c2854cdd60bbc8f,1564000258,3,57,183,7332,44390.282825998016,192.9473684210526,8564988.254742563
bmeg-etl,d99536e8f1165dc3919321ec72ce7b1b4bb2beef,1557180330,3,65,138,5681,35422.94627323572,131.10000000000002,4643948.256421204
bmeg-etl,d14ba2a7be8b46974e0d37bdb4217d9c83d49914,1556903116,3,63,136,5599,34664.60027452073,133.3095238095238,4621121.355643846
bmeg-etl,f57b1419ba9e1fe5b406c8ce1a04679b56660804,1569338707,3,80,212,7571,49616.93189417311,141.95625,7043433.588202212
bmeg-etl,ad958d4949849375b159cb80ea6f53ea314ee53a,1576263529,3,82,194,4301,28810.21225793897,78.67682926829269,2266696.1510011377
bmeg-etl,71be579497eeb449673794c4df0aca918b5b2941,1548888686,3,34,134,2946,16045.116366137167,129.97058823529412,2085393.2124105922
bmeg-etl,9e292a70db87790b8dda939758c44ce9976fbb5d,1543352563,3,28,104,1007,5504.112100839818,53.94642857142857,296927.19029709086
bmeg-etl,ce9431af12085502b78a50cf28786cd1da13e6c8,1547057580,3,28,113,2587,13376.330038044562,138.58928571428572,1853816.0254511402
bmeg-etl,48c4284a9caa9862c1e33507c6ba0c48d94451a2,1543258402,3,28,103,772,4334.921771588515,41.35714285714286,179279.97898212503
