folder_name,dvc_commit,time,n1,n2,N1,N2,Volume,Difficulty,Effort
rna-seq,dfed0d50b9861665cbb420eaf84c9355f772acec,1580784307,1,4,8,32,92.87712379549448,4.0,371.50849518197793
rna-seq,22eb43e281dd953a269d00127f71cba2012ff22c,1579975440,1,4,3,12,34.82892142331043,1.5,52.24338213496565
rna-seq,3c5d5ba536fc9a1345a74b939756df20512cdff6,1580743834,1,4,6,24,69.65784284662087,3.0,208.9735285398626
rna-seq,e29ab82135bf15388096c0b3cd50284864efbc4a,1581244580,1,4,9,36,104.4867642699313,4.5,470.19043921469085
rna-seq,a71293f72b6a4899a6b7227598fc99428599301c,1582049146,1,4,10,40,116.09640474436812,5.0,580.4820237218406
rna-seq,abcf8071cf646981dbad00faf3f56b23ab00c72d,1581362767,1,4,9,36,104.4867642699313,4.5,470.19043921469085
rna-seq,0bfad83f7ffe6e363430a4698048aa1e236363c8,1582655928,1,4,11,44,127.70604521880492,5.5,702.3832487034271
rna-seq,5df2a20168a598c2476202b1b753a04e6384de17,1581537530,1,4,10,40,116.09640474436812,5.0,580.4820237218406
rna-seq,1fed6ec846d3f0ec1dad9f03840eed98dd0fea87,1584484466,1,4,11,44,127.70604521880492,5.5,702.3832487034271
rna-seq,624a973e2fe29fa30f2e0996115f934d0c69039a,1579975622,1,4,4,16,46.43856189774724,2.0,92.87712379549448
rna-seq,ce534df15ab055684d726848a95e9a475c1d7ab1,1579975219,1,4,2,8,23.21928094887362,1.0,23.21928094887362
rna-seq,cf3783cf5ea28b5e5d68275a3464a2f5045528e7,1580755783,1,4,7,28,81.26748332105768,3.5,284.4361916237019
rna-seq,cc6d52e19138f66d5ef696dae75384aca72770c9,1579974939,1,4,1,4,11.60964047443681,0.5,5.804820237218405
rna-seq,62cb431343b4d363ec0351f8f239b633c84d45f0,1580147986,1,4,5,20,58.04820237218406,2.5,145.12050593046015
