folder_name,dvc_commit,time,n1,n2,N1,N2,Volume,Difficulty,Effort
utils,5074f96d104bc8214dbb5ba5208d4b71ae7df7c8,1556140415,3,62,84,416,3011.183906514227,10.064516129032258,30306.1089945948
utils,b2be5bc71262a91f395127d332500b6b7a97bbfa,1542924344,2,2,13,27,80.0,13.5,1080.0
utils,29d21063269eba7f40e092911ea2896299e5cddf,1547077069,2,2,22,46,136.0,23.0,3128.0
utils,e43e80c5282e716358c506e4a773d68cc9104196,1551781720,2,3,28,62,208.9735285398626,20.666666666666668,4318.7862564904935
utils,7af72aef455e6bcb549778d44aa904b5c413fe52,1556025393,3,51,72,329,2307.709888367551,9.676470588235293,22330.486860968358
utils,2adb6ad232683a81a7fa7a707fe518795887311f,1554930236,3,44,61,262,1794.132199091877,8.931818181818182,16024.862596434265
utils,e123a0b096e8e15227f5b45c720a54005b1750dc,1558540931,3,75,108,618,4563.202010893992,12.36,56401.17685464974
utils,22e61c0b8b7e22045b61cc533af70ef7f2d8e636,1555527057,3,51,72,328,2301.9550008653873,9.647058823529413,22207.095302466092
utils,e3631535ed3ce0d7368b27329c8b297c97e8558d,1541268981,2,2,4,7,22.0,3.5,77.0
utils,a987a8a4517c6582a0d4f3e6d6f86a5c869f6103,1554305323,3,40,61,240,1633.3056911653314,9.0,14699.751220487982
utils,56f4843ef8e4f8996c99b5bf401ad169cbdecb83,1551807266,2,14,34,98,528.0,7.0,3696.0
utils,444545068453e487ac49c6576636a08c7a0a591c,1558189237,3,68,101,541,3948.137650722006,11.933823529411764,47116.37799354277
utils,93cc2bb4bb3ba75c07b41144f58a23dcfe2ed441,1558189921,3,73,107,599,4411.0368244911715,12.30821917808219,54292.008038429
utils,a43f86a2267964128220a52625991c61df565f67,1551316604,2,3,26,55,188.07617568587634,18.333333333333332,3448.0632209077326
utils,edd1bfd3c359fad759228b2feba97ca41a605b02,1542637624,2,2,10,22,64.0,11.0,704.0
utils,e44b1af78a6da270c624845d3b5340d75d0e8851,1547075756,2,2,22,46,136.0,23.0,3128.0
utils,f220039eafc8a96dbc1b5c41c34667b1ec3c9d8c,1558195948,3,74,106,598,4411.8177246492105,12.121621621621621,53478.38512176137
utils,39f497f0bbd544a5db40b4ce411db22f397282f8,1556132630,3,62,84,416,3011.183906514227,10.064516129032258,30306.1089945948
utils,1e99cc711d652fd93c5bc00219e0debbdd9ffb0f,1552061379,3,34,54,185,1245.059354385319,8.161764705882353,10161.881495350766
utils,c465b5c2213829a723043ece1f5ac62293e9d7b6,1556116198,3,51,73,334,2342.2392133805315,9.823529411764707,23009.055802032282
utils,f6b60563d972a2845ef1114cc56c1088b1b49b0f,1557184134,3,62,85,436,3137.653630587825,10.548387096774194,33097.18507103931
utils,cc3177b8d8f6cb78b9d2cc711a43bcb081f18efb,1547587114,2,2,26,54,160.0,27.0,4320.0
utils,2ddfa2d4dcb7829379f8649039b4502096e2ff15,1551862106,3,29,48,150,990.0,7.758620689655173,7681.0344827586205
utils,ad829a2dbd96b5a6f690bcd184db0608b2568c5e,1552056298,3,34,52,172,1166.9175539008847,7.588235294117647,8854.844967836125
utils,e6c2ae98bc710d61b0b0b20bb6396c7eff102ac7,1556129178,3,61,82,406,2928.0,9.98360655737705,29232.0
utils,41113dc0c78ab814be3feae456bb0942864ec053,1554977540,3,47,65,282,1958.4180978518293,9.0,17625.762880666465
utils,c7350c19ce9b9f34b43959f55556325b0e8c9a11,1554914857,3,42,61,244,1675.0151943805508,8.714285714285714,14596.560979601942
utils,0f17228ad310faaa02ebe3132086c4114ed54403,1552054319,3,31,50,157,1053.10480813882,7.596774193548387,8000.199429570714
utils,cced674c68b161aa84599cd2810a541f1f53cbeb,1547567184,2,2,24,50,148.0,25.0,3700.0
utils,8b55e11e8fe23c3a773cb17cad582ebe00d10d13,1552054319,3,34,52,172,1166.9175539008847,7.588235294117647,8854.844967836125
utils,bf73360ad713866b1f935492da14ba74c532c28e,1547496303,2,2,24,50,148.0,25.0,3700.0
utils,0a32304cbf8645979a093d4135e1c81bef186c28,1543487342,2,2,16,34,100.0,17.0,1700.0
utils,d280d7a4cf338f4ae4ff71e2569e0eaf9776dbdc,1558193020,3,73,106,594,4373.54925941051,12.205479452054794,53381.26561828444
utils,cf76eb4ffb71b2df51d926140e4c731e08986a02,1555703841,3,51,72,328,2301.9550008653873,9.647058823529413,22207.095302466092
utils,fddf085a058035f1622508da0a785c3cc990514d,1552054319,3,29,48,150,990.0,7.758620689655173,7681.0344827586205
utils,885ff763b0f574270f282bfe76912785042ee00f,1551820315,3,29,42,135,885.0,6.982758620689655,6179.741379310344
utils,e0af7a1069fa05ca689637b67867b4d26083fff5,1543487635,2,2,20,42,124.0,21.0,2604.0
utils,715f1464c9e43d25bd6acd49ed256cd28fda82cc,1556017662,3,51,72,329,2307.709888367551,9.676470588235293,22330.486860968358
utils,ec9e75867fe3425293d358c12dcab2421942a73e,1558528891,3,74,106,599,4418.084511189905,12.141891891891891,53643.90450410986
utils,a131d26800522a891b254bb12b0f088cf7c6f75a,1553955323,3,38,61,222,1516.1872173069178,8.763157894736842,13286.587983242202
utils,c99a1350bd6bb4c650d8121af2a8d7970d88682b,1555509078,3,51,65,301,2106.2888257918294,8.852941176470589,18646.851075392373
utils,c503bd367a04b4eec2b4c0977b6f3abe2578053f,1551316604,2,3,28,59,202.00774425520052,19.666666666666668,3972.818970352277
utils,72318479aa2c4fa5b504f562f123ee8697043563,1553705559,3,34,54,185,1245.059354385319,8.161764705882353,10161.881495350766
utils,8c0ac69ee523becaf3cceb294738a9c5331a84c7,1544974925,2,2,20,42,124.0,21.0,2604.0
utils,d0fb0913ead0464c603a0e60e17ddec2167c01d0,1544620012,2,2,20,42,124.0,21.0,2604.0
utils,cebf02e3934db8e9fd9ff730b4f09e52abb4cbb8,1543253174,2,2,13,27,80.0,13.5,1080.0
